time;axis;value;subject
1;x;11.08;bo23
1;x;32.49;ea65
1;x;17.67;ia67
1;x;37.54;ks01
1;x;20.13;mk55
1;x;69.49;qe90
1;x;16.68;qw51
1;x;23.28;zp65
2;x;13.21;bo23
2;x;21.65;ea65
2;x;19.5;ia67
2;x;37.54;ks01
2;x;28.21;mk55
2;x;57.62;qe90
2;x;12.81;qw51
2;x;29.99;zp65
3;x;9.22;bo23
3;x;19.95;ea65
3;x;45.5;ia67
3;x;7.18;ks01
3;x;37.87;mk55
3;x;82.36;qe90
3;x;11.68;qw51
3;x;42.55;zp65
4;x;17.32;bo23
4;x;35.12;ea65
4;x;47.51;ia67
4;x;25.83;ks01
4;x;23.21;mk55
4;x;77.25;qe90
4;x;13.62;qw51
4;x;38.0;zp65
5;x;30.28;bo23
5;x;64.47;ea65
5;x;18.77;ia67
5;x;38.62;ks01
5;x;34.56;mk55
5;x;75.26;qe90
5;x;15.63;qw51
5;x;35.73;zp65
6;x;42.95;bo23
6;x;54.38;ea65
6;x;55.86;ia67
6;x;21.78;ks01
6;x;40.47;mk55
6;x;78.53;qe90
6;x;21.36;qw51
6;x;26.77;zp65
7;x;29.37;bo23
7;x;45.43;ea65
7;x;20.48;ia67
7;x;5.5;ks01
7;x;39.8;mk55
7;x;64.24;qe90
7;x;17.07;qw51
7;x;29.31;zp65
8;x;25.62;bo23
8;x;59.52;ea65
8;x;27.82;ia67
8;x;12.7;ks01
8;x;14.09;mk55
8;x;65.39;qe90
8;x;31.29;qw51
8;x;29.88;zp65
9;x;30.99;bo23
9;x;62.22;ea65
9;x;41.0;ia67
9;x;41.38;ks01
9;x;17.18;mk55
9;x;59.92;qe90
9;x;22.0;qw51
9;x;40.85;zp65
10;x;60.76;bo23
10;x;61.33;ea65
10;x;25.27;ia67
10;x;13.7;ks01
10;x;24.67;mk55
10;x;61.29;qe90
10;x;19.75;qw51
10;x;31.74;zp65
11;x;56.32;bo23
11;x;46.53;ea65
11;x;13.3;ia67
11;x;62.63;ks01
11;x;20.72;mk55
11;x;53.45;qe90
11;x;10.29;qw51
11;x;27.78;zp65
12;x;62.46;bo23
12;x;64.43;ea65
12;x;20.39;ia67
12;x;111.15;ks01
12;x;33.67;mk55
12;x;73.49;qe90
12;x;10.62;qw51
12;x;22.97;zp65
13;x;89.82;bo23
13;x;32.58;ea65
13;x;12.75;ia67
13;x;12.97;ks01
13;x;19.44;mk55
13;x;86.81;qe90
13;x;17.34;qw51
13;x;36.6;zp65
14;x;70.5;bo23
14;x;56.84;ea65
14;x;18.78;ia67
14;x;63.3;ks01
14;x;18.57;mk55
14;x;80.64;qe90
14;x;16.66;qw51
14;x;39.56;zp65
15;x;80.4;bo23
15;x;27.51;ea65
15;x;17.64;ia67
15;x;61.25;ks01
15;x;144.77;mk55
15;x;47.71;qe90
15;x;25.62;qw51
15;x;36.92;zp65
16;x;77.25;bo23
16;x;23.58;ea65
16;x;21.75;ia67
16;x;27.55;ks01
16;x;23.36;mk55
16;x;73.88;qe90
16;x;6.29;qw51
16;x;16.02;zp65
17;x;64.4;bo23
17;x;24.94;ea65
17;x;68.38;ia67
17;x;38.47;ks01
17;x;20.8;mk55
17;x;65.02;qe90
17;x;13.38;qw51
17;x;34.52;zp65
18;x;62.67;bo23
18;x;35.88;ea65
18;x;55.04;ia67
18;x;38.47;ks01
18;x;20.71;mk55
18;x;82.4;qe90
18;x;9.65;qw51
18;x;17.78;zp65
19;x;45.5;bo23
19;x;28.72;ea65
19;x;84.95;ia67
19;x;96.8;ks01
19;x;24.44;mk55
19;x;52.24;qe90
19;x;13.14;qw51
19;x;30.55;zp65
20;x;49.5;bo23
20;x;40.29;ea65
20;x;42.85;ia67
20;x;80.1;ks01
20;x;11.09;mk55
20;x;69.67;qe90
20;x;15.83;qw51
20;x;33.22;zp65
21;x;34.07;bo23
21;x;34.92;ea65
21;x;44.28;ia67
21;x;43.32;ks01
21;x;14.68;mk55
21;x;52.42;qe90
21;x;12.32;qw51
21;x;27.74;zp65
22;x;71.0;bo23
22;x;48.09;ea65
22;x;58.28;ia67
22;x;65.2;ks01
22;x;11.01;mk55
22;x;78.79;qe90
22;x;14.08;qw51
22;x;37.95;zp65
23;x;54.15;bo23
23;x;31.54;ea65
23;x;29.67;ia67
23;x;65.2;ks01
23;x;51.68;mk55
23;x;57.81;qe90
23;x;29.06;qw51
23;x;35.03;zp65
24;x;54.15;bo23
24;x;44.73;ea65
24;x;30.59;ia67
24;x;64.2;ks01
24;x;22.13;mk55
24;x;82.5;qe90
24;x;39.5;qw51
24;x;24.69;zp65
25;x;86.36;bo23
25;x;61.1;ea65
25;x;34.68;ia67
25;x;64.2;ks01
25;x;16.43;mk55
25;x;82.64;qe90
25;x;38.59;qw51
25;x;26.27;zp65
26;x;86.36;bo23
26;x;61.1;ea65
26;x;34.68;ia67
26;x;50;ks01
26;x;16.43;mk55
26;x;82.64;qe90
26;x;38.59;qw51
26;x;26.27;zp65
1;y;21.03;bo23
1;y;58.98;ea65
1;y;49.88;ia67
1;y;41.64;ks01
1;y;48.78;mk55
1;y;44.99;qe90
1;y;125.96;qw51
1;y;10.55;zp65
2;y;17.33;bo23
2;y;47.38;ea65
2;y;54.38;ia67
2;y;41.64;ks01
2;y;49.32;mk55
2;y;37.02;qe90
2;y;136.3;qw51
2;y;29.49;zp65
3;y;11.92;bo23
3;y;48.03;ea65
3;y;60.38;ia67
3;y;53.38;ks01
3;y;72.16;mk55
3;y;43.65;qe90
3;y;124.33;qw51
3;y;12.58;zp65
4;y;22.05;bo23
4;y;105.36;ea65
4;y;102.18;ia67
4;y;62.67;ks01
4;y;49.61;mk55
4;y;79.41;qe90
4;y;121.32;qw51
4;y;12.89;zp65
5;y;21.89;bo23
5;y;90.46;ea65
5;y;108.33;ia67
5;y;45.76;ks01
5;y;84.9;mk55
5;y;39.62;qe90
5;y;118.92;qw51
5;y;27.45;zp65
6;y;26.9;bo23
6;y;131.1;ea65
6;y;60.22;ia67
6;y;28.06;ks01
6;y;69.81;mk55
6;y;32.81;qe90
6;y;94.26;qw51
6;y;12.27;zp65
7;y;60.49;bo23
7;y;144.57;ea65
7;y;117.63;ia67
7;y;38.17;ks01
7;y;71.24;mk55
7;y;45.6;qe90
7;y;85.0;qw51
7;y;26.58;zp65
8;y;48.6;bo23
8;y;78.74;ea65
8;y;89.14;ia67
8;y;27.85;ks01
8;y;61.12;mk55
8;y;41.93;qe90
8;y;133.99;qw51
8;y;20.47;zp65
9;y;56.76;bo23
9;y;105.36;ea65
9;y;118.49;ia67
9;y;31.86;ks01
9;y;61.89;mk55
9;y;26.6;qe90
9;y;117.06;qw51
9;y;14.87;zp65
10;y;62.95;bo23
10;y;106.03;ea65
10;y;123.18;ia67
10;y;13.12;ks01
10;y;71.15;mk55
10;y;63.53;qe90
10;y;122.9;qw51
10;y;21.61;zp65
11;y;66.12;bo23
11;y;68.97;ea65
11;y;105.21;ia67
11;y;13.97;ks01
11;y;69.08;mk55
11;y;52.32;qe90
11;y;92.2;qw51
11;y;25.76;zp65
12;y;60.94;bo23
12;y;60.88;ea65
12;y;156.77;ia67
12;y;32.1;ks01
12;y;90.53;mk55
12;y;31.91;qe90
12;y;94.78;qw51
12;y;20.04;zp65
13;y;130.77;bo23
13;y;32.96;ea65
13;y;226.6;ia67
13;y;39.07;ks01
13;y;88.12;mk55
13;y;38.45;qe90
13;y;97.73;qw51
13;y;44.27;zp65
14;y;75.7;bo23
14;y;68.02;ea65
14;y;180.47;ia67
14;y;1.2;ks01
14;y;64.95;mk55
14;y;32.34;qe90
14;y;62.65;qw51
14;y;34.72;zp65
15;y;53.8;bo23
15;y;65.33;ea65
15;y;232.48;ia67
15;y;18.62;ks01
15;y;270.6;mk55
15;y;53.37;qe90
15;y;86.55;qw51
15;y;21.03;zp65
16;y;20.1;bo23
16;y;52.91;ea65
16;y;217.06;ia67
16;y;32.54;ks01
16;y;56.9;mk55
16;y;81.31;qe90
16;y;124.9;qw51
16;y;17.86;zp65
17;y;77.42;bo23
17;y;84.76;ea65
17;y;178.98;ia67
17;y;9.2;ks01
17;y;66.57;mk55
17;y;60.91;qe90
17;y;120.14;qw51
17;y;35.62;zp65
18;y;34.9;bo23
18;y;46.68;ea65
18;y;161.49;ia67
18;y;9.2;ks01
18;y;85.1;mk55
18;y;123.24;qe90
18;y;124.24;qw51
18;y;25.4;zp65
19;y;121.82;bo23
19;y;64.46;ea65
19;y;128.49;ia67
19;y;50;ks01
19;y;99.34;mk55
19;y;79.6;qe90
19;y;123.46;qw51
19;y;23.11;zp65
20;y;183.92;bo23
20;y;75.33;ea65
20;y;202.9;ia67
20;y;76.0;ks01
20;y;85.95;mk55
20;y;43.17;qe90
20;y;108.29;qw51
20;y;20.45;zp65
21;y;105.43;bo23
21;y;52.9;ea65
21;y;115.09;ia67
21;y;39.23;ks01
21;y;60.24;mk55
21;y;83.7;qe90
21;y;91.43;qw51
21;y;45.7;zp65
22;y;128.13;bo23
22;y;62.41;ea65
22;y;166.04;ia67
22;y;74.2;ks01
22;y;76.34;mk55
22;y;58.67;qe90
22;y;103.06;qw51
22;y;35.59;zp65
23;y;150.5;bo23
23;y;63.93;ea65
23;y;175.52;ia67
23;y;74.2;ks01
23;y;28.48;mk55
23;y;74.23;qe90
23;y;109.89;qw51
23;y;21.83;zp65
24;y;230.1;bo23
24;y;58.21;ea65
24;y;166.78;ia67
24;y;16.5;ks01
24;y;80.71;mk55
24;y;64.77;qe90
24;y;131.62;qw51
24;y;18.44;zp65
25;y;109.18;bo23
25;y;87.98;ea65
25;y;145.31;ia67
25;y;16.5;ks01
25;y;94.2;mk55
25;y;55.8;qe90
25;y;122.25;qw51
25;y;18.37;zp65
26;y;109.18;bo23
26;y;87.98;ea65
26;y;145.31;ia67
26;y;50;ks01
26;y;94.2;mk55
26;y;55.8;qe90
26;y;122.25;qw51
26;y;18.37;zp65
